PWSID,HAA5_RAAQ95,HAA9_RAAQ95,TTHM_RAAQ95,HAA5_MCL,TTHM_MCL,STG2_MCL
010106001,24.5769,44.9932,,<,?,Uncertain (No TTHM Data)
010109005,59.0111875,64.3758375,,<,?,Uncertain (No TTHM Data)
055293201,2.5794,5.306875,,<,?,Uncertain (No TTHM Data)
055294214,0.409,0.62275,,<,?,Uncertain (No TTHM Data)
055294506,1.046125,1.561425,,<,?,Uncertain (No TTHM Data)
063500120,0.813,0.93375,,<,?,Uncertain (No TTHM Data)
063501100,0.755,0.755,,<,?,Uncertain (No TTHM Data)
063506008,13.161825,20.4563,,<,?,Uncertain (No TTHM Data)
063506114,2.4255,5.23325,,<,?,Uncertain (No TTHM Data)
083890015,32.705,42.27,,<,?,Uncertain (No TTHM Data)
083890023,41.999,60.1335,,<,?,Uncertain (No TTHM Data)
084690516,19.481375,27.2685,,<,?,Uncertain (No TTHM Data)
090400089,0.0,0.0,,<,?,Uncertain (No TTHM Data)
090400090,20.026125,35.976125,,<,?,Uncertain (No TTHM Data)
090400106,0.0,0.0,,<,?,Uncertain (No TTHM Data)
090400109,0.8725,1.121,,<,?,Uncertain (No TTHM Data)
090400343,17.68525,23.229,,<,?,Uncertain (No TTHM Data)
090400692,0.9802,0.9802,,<,?,Uncertain (No TTHM Data)
090400693,27.122875,31.919875,,<,?,Uncertain (No TTHM Data)
090407149,2.233,3.7255,,<,?,Uncertain (No TTHM Data)
090600158,5.03,12.41,,<,?,Uncertain (No TTHM Data)
090605012,0.795,1.03,,<,?,Uncertain (No TTHM Data)
090605013,4.615,7.115,,<,?,Uncertain (No TTHM Data)
090605153,3.26,5.095,,<,?,Uncertain (No TTHM Data)
093534024,0.9215,1.38225,,<,?,Uncertain (No TTHM Data)
105300116,34.3575,35.53,,<,?,Uncertain (No TTHM Data)
AK2110342,7.1170625,7.1170625,7.77875,<,<,No Violation
AK2130075,29.6975,32.45375,23.3775,<,<,No Violation
AK2130148,23.30875,23.31275,38.8925,<,<,No Violation
AK2210906,5.80183333333333,5.91548333333333,8.475,<,<,No Violation
AK2211423,13.5408333333333,13.80305,19.56,<,<,No Violation
AK2211431,0.495,1.805,10.01,<,<,No Violation
AK2212039,12.543125,12.8231375,15.1333333333333,<,<,No Violation
AK2224646,6.4672,9.214775,17.98625,<,<,No Violation
AK2240448,24.6,26.55,35.2,<,<,No Violation
AK2310730,22.3975,23.775475,44.745,<,<,No Violation
AK2310900,24.89925,26.285875,61.935,<,<,No Violation
AK2310918,32.54725,34.054275,55.43625,<,<,No Violation
AL0000001,0.444625,0.444625,0.0,<,<,No Violation
AL0000017,0.3383,0.3383,3.70625,<,<,No Violation
AL0000023,1.9,2.51,0.5,<,<,No Violation
AL0000029,0.73475,1.10725,2.31625,<,<,No Violation
AL0000035,0.7735,1.928,1.66166666666667,<,<,No Violation
AL0000036,2.1515,2.7915,6.99625,<,<,No Violation
AL0000038,2.63575,5.29425,7.397875,<,<,No Violation
AL0000053,3.082125,6.785275,13.68125,<,<,No Violation
AL0000085,2.05675,3.451,15.7775,<,<,No Violation
AL0000103,20.366125,24.824375,43.8275,<,<,No Violation
AL0000118,0.0877166666666667,0.0877166666666667,2.1755,<,<,No Violation
AL0000131,1.81925,3.03925,2.88375,<,<,No Violation
AL0000133,21.408,23.929,25.58875,<,<,No Violation
AL0000154,1.673,2.50266666666667,7.90125,<,<,No Violation
AL0000162,0.644375,0.929125,15.35,<,<,No Violation
AL0000174,30.93375,39.79125,56.6225,<,<,No Violation
AL0000178,48.49676875,55.68204375,68.1225,<,<,No Violation
AL0000180,26.85475,34.486375,74.72375,<,<,No Violation
AL0000189,1.68275,2.29575,1.972375,<,<,No Violation
AL0000213,30.3102375,36.6652625,45.535,<,<,No Violation
AL0000234,3.3165,4.60375,18.640125,<,<,No Violation
AL0000296,0.97275,1.691,3.6,<,<,No Violation
AL0000302,0.7136,1.200275,6.24,<,<,No Violation
AL0000314,41.7028333333333,49.9366666666667,48.79375,<,<,No Violation
AL0000321,33.6325375,42.8000125,37.665,<,<,No Violation
AL0000327,36.9122,45.3938625,61.535,<,<,No Violation
AL0000331,9.975975,16.8173,55.875,<,<,No Violation
AL0000356,6.7635,15.6135,37.075,<,<,No Violation
AL0000361,4.7445,7.8875,26.38875,<,<,No Violation
AL0000394,42.975825,48.4598125,47.26,<,<,No Violation
AL0000397,1.2295,2.175,6.035,<,<,No Violation
AL0000402,46.598875,51.491625,41.215,<,<,No Violation
AL0000413,7.7273,13.9937625,46.69125,<,<,No Violation
AL0000441,3.398,6.34875,19.39525,<,<,No Violation
AL0000490,1.1845,1.7485,10.4465,<,<,No Violation
AL0000509,14.719625,17.810375,45.92,<,<,No Violation
AL0000535,10.4688625,12.8219375,47.1175,<,<,No Violation
AL0000539,20.715,23.9695,42.8,<,<,No Violation
AL0000547,25.269625,29.275125,70.73,<,<,No Violation
AL0000549,27.4275,32.631,45.26,<,<,No Violation
AL0000551,55.8955,61.0655,92.6625,<,>=,Violation
AL0000553,1.126725,1.55045,2.74,<,<,No Violation
AL0000561,0.285,0.4275,0.0,<,<,No Violation
AL0000577,17.365625,24.66495,26.385,<,<,No Violation
AL0000588,0.70375,0.8695,12.5825,<,<,No Violation
AL0000591,3.83775,5.286875,6.475,<,<,No Violation
AL0000607,4.623,7.65025,9.3475,<,<,No Violation
AL0000610,50.9185,54.6571666666667,44.47875,<,<,No Violation
AL0000624,0.627,1.0165,0.0,<,<,No Violation
AL0000663,0.90125,1.447,2.66,<,<,No Violation
AL0000671,3.04275,4.2475,5.795,<,<,No Violation
AL0000681,0.7325,1.5625,4.695,<,<,No Violation
AL0000728,25.033275,32.594025,42.355,<,<,No Violation
AL0000729,42.014375,48.735625,55.025,<,<,No Violation
AL0000737,16.2945125,21.80605,65.6075,<,<,No Violation
AL0000738,25.529025,31.021575,60.318125,<,<,No Violation
AL0000753,2.957,4.16275,9.27,<,<,No Violation
AL0000761,1.552,2.91725,11.39625,<,<,No Violation
AL0000763,34.9425,44.122125,61.18,<,<,No Violation
AL0000783,24.6376666666667,28.8188333333333,48.73125,<,<,No Violation
AL0000794,31.3965,35.1525,53.83875,<,<,No Violation
AL0000801,52.78375,56.403875,41.5575,<,<,No Violation
AL0000804,41.35975,48.320625,68.86,<,<,No Violation
AL0000814,38.1055,43.388625,57.0525,<,<,No Violation
AL0000816,46.5090375,55.295975,88.96625,<,>=,Violation
AL0000820,30.5166,39.8865,47.395,<,<,No Violation
AL0000824,51.663225,58.598775,49.84875,<,<,No Violation
AL0000833,46.84275,52.1145,58.0175,<,<,No Violation
AL0000870,58.5629333333333,65.2943333333333,116.3875,<,>=,Violation
AL0000878,2.217175,3.7166375,8.02,<,<,No Violation
AL0000882,30.62214,35.80216,43.935,<,<,No Violation
AL0000885,39.4335,45.75815,59.14,<,<,No Violation
AL0000888,50.604,58.343,50.8325,<,<,No Violation
AL0000899,37.688725,42.6048,50.76875,<,<,No Violation
AL0000908,8.29325,16.287,27.79125,<,<,No Violation
AL0000926,56.275125,60.521925,43.105,<,<,No Violation
AL0000933,48.1353333333333,55.9473333333333,49.64,<,<,No Violation
AL0000934,17.015375,22.9045,46.09,<,<,No Violation
AL0000936,60.99365,69.6339166666667,69.58875,>=,<,Violation
AL0000940,2.374,3.666,11.4795,<,<,No Violation
AL0000943,33.8915,40.8056666666667,32.715,<,<,No Violation
AL0000945,36.668375,41.931625,48.41875,<,<,No Violation
AL0000951,12.5445,17.385875,29.9275,<,<,No Violation
AL0000967,21.9195,31.622,0.0,<,<,No Violation
AL0001002,26.2793,50.96455,77.65,<,<,No Violation
AL0001005,35.7273625,43.159925,43.86875,<,<,No Violation
AL0001015,35.5436666666667,43.492,54.965,<,<,No Violation
AL0001021,0.4253,0.76475,0.87125,<,<,No Violation
AL0001070,31.4662125,37.6504625,41.54325,<,<,No Violation
AL0001078,4.14575,5.52925,8.93,<,<,No Violation
AL0001084,33.0435,40.973875,34.48,<,<,No Violation
AL0001086,33.9298333333333,42.7068333333333,33.3975,<,<,No Violation
AL0001088,49.57625,56.416875,42.7225,<,<,No Violation
AL0001092,6.06585,11.4403125,19.14,<,<,No Violation
AL0001100,1.47975,1.988,1.29,<,<,No Violation
AL0001106,4.91225,9.85225,6.58,<,<,No Violation
AL0001120,2.657425,4.05625,13.5155,<,<,No Violation
AL0001124,2.6209,4.0049,10.550625,<,<,No Violation
AL0001137,2.5595,3.8475,3.69375,<,<,No Violation
AL0001142,29.8730875,38.423425,55.61375,<,<,No Violation
AL0001145,22.192,30.125625,29.42125,<,<,No Violation
AL0001148,27.7152125,34.316725,53.5,<,<,No Violation
AL0001150,7.440125,10.58475,12.9475,<,<,No Violation
AL0001151,3.29525,4.72875,13.20125,<,<,No Violation
AL0001157,33.6425,40.751625,56.915,<,<,No Violation
AL0001163,29.089,35.94925,50.085,<,<,No Violation
AL0001203,21.7293333333333,27.7281666666667,38.05875,<,<,No Violation
AL0001204,26.0998333333333,32.1533333333333,49.075,<,<,No Violation
AL0001222,0.1932,0.359866666666667,12.174875,<,<,No Violation
AL0001258,40.3213,43.036,40.28375,<,<,No Violation
AL0001260,27.3775,30.699875,35.71625,<,<,No Violation
AL0001265,28.9909875,33.5863125,64.63,<,<,No Violation
AL0001288,35.13375,39.576125,55.67875,<,<,No Violation
AL0001293,33.211875,38.05525,40.67375,<,<,No Violation
AL0001307,57.119625,63.28475,72.71,<,<,No Violation
AL0001313,40.7296833333333,47.05855,52.07625,<,<,No Violation
AL0001336,30.7163333333333,34.0776666666667,34.7975,<,<,No Violation
AL0001411,32.2145,35.5825,46.69625,<,<,No Violation
AL0001422,29.9916666666667,36.8431666666667,52.7,<,<,No Violation
AL0001432,30.8012625,35.3057125,50.6225,<,<,No Violation
AL0001489,1.2475,1.6655,5.875,<,<,No Violation
AL0001507,7.227525,13.3716,107.355,<,>=,Violation
AL0001512,0.646,0.646,5.56,<,<,No Violation
AL0001516,2.408,3.23475,8.1675,<,<,No Violation
AL0001540,57.6176666666667,64.6366666666667,51.5125,<,<,No Violation
AL0001671,46.6290875,54.6303125,55.235,<,<,No Violation
AL0001716,42.911,47.1405,44.65,<,<,No Violation
AL0001783,3.4641125,5.757475,8.44,<,<,No Violation
AL0001786,38.9223875,43.9735125,52.0525,<,<,No Violation
AL0001796,80.3666666666667,91.1035,60.74,>=,<,Violation
AR0000002,0.27,0.27,0.0,<,<,No Violation
AR0000004,2.053,2.977,25.8,<,<,No Violation
AR0000025,43.5507125,49.2423,46.74875,<,<,No Violation
AR0000039,45.15735,49.5088375,73.39375,<,<,No Violation
AR0000041,38.2931375,43.433025,54.2825,<,<,No Violation
AR0000044,54.5041666666667,59.5687166666667,61.9675,<,<,No Violation
AR0000055,40.13976,45.15316,62.3275,<,<,No Violation
AR0000056,30.9264625,41.2750625,45.24125,<,<,No Violation
AR0000062,32.042775,32.8673833333333,54.7225,<,<,No Violation
AR0000085,38.072,43.0906875,68.01125,<,<,No Violation
AR0000090,1.565,3.375,16.6,<,<,No Violation
AR0000101,40.4732166666667,43.7881166666667,59.58625,<,<,No Violation
AR0000104,33.235325,36.7893375,37.30625,<,<,No Violation
AR0000109,15.9625875,24.933775,94.62625,<,>=,Violation
AR0000119,30.368,34.621125,76.4933333333333,<,<,No Violation
