PWSID,FacilityID,SamplePointID,HAA.Group,BCAA,BDCAA,DBCAA,DBAA,DCAA,MBAA,MCAA,TBAA,TCAA
10106001,1,D6,HAA5,4.715,9.1025,2.99,2.19,8.06,0.1775,1.1325,1.84,12.965
10109005,4,SC4,HAA5,2.20575,2.73,0.298,0.07775,18.185,0,1.7175,0,34.6
55293201,67890,DS1,HAA5,0.911,0,0.5695,1.945,0.209,0.216,0,1.03,0
55294214,30001,DS2,HAA5,0.225,0,0,0,0.425,0,0,0,0
55294506,99001,DS001,HAA5,0.539,0,0,0.1515,0.8965,0,0,0,0
63500120,30001,DS1,HAA5,0,0,0,0.49,0,0.31,0,0,0
63501100,30001,DS1,HAA5,0,0,0,0.755,0,0,0,0,0
63506008,164,DBP03,HAA5,4.515,1.12,0.7265,2.255,4.39,0.3505,3.9,0,0.9945
63506114,90001,DBP02,HAA5,0.935,0,0.45,1.55,0.57,0.18,0,1,0
83890015,30001,DS1,HAA5,2.9,5.825,0.84,0.155,8.3,0,0,0,24.25
83890023,11333,6,HAA5,5.15,10.1,1.8,0.81,16,0.22,0,0,24.5
84690516,30001,DS1,HAA5,2.85,2.625,0.47,0.525,6.1375,0.075,0,0,6.775
90400089,30001,DS1,HAA5,0,0,0,0,0,0,0,0,0
90400090,30001,DS2,HAA5,5.55,2.125,4.05,15.8,2.075,1.67,0,4.375,0.7525
90400106,30001,DS1,HAA5,0,0,0,0,0,0,0,0,0
90400109,1,DBP01,HAA5,0.25,0,0,0.49,0.385,0,0,0,0
90400343,30001,DS2,HAA5,1.355,2.05,0.635,0.24,4.65,0,0,1.2,12.55
90400692,6001,6001,HAA5,0,0,0,0.337,0.571,0,0,0,0
90400693,99001,2,HAA5,2.025,2.3,0.5475,0.475,10.075,0,0,0,17
90407149,3,DPB002,HAA5,0.91,0,0.62,1.2,0.66,0.42,0,0,0
90600158,1,DS001,HAA5,1.19,2.5,0.94,4.25,0.465,0.315,0,2.75,0
90605012,30001,DS1,HAA5,0.235,0,0,0.565,0.23,0,0,0,0
90605013,6,R12,HAA5,0.9175,0,0.5575,2.6,0.06,0.155,1.8,1.025,0
90605153,99001,MR001,HAA5,1.26,0,0.575,2.1,0.705,0.455,0,0,0
93534024,30001,DS1,HAA5,0.485,0,0,0.68,0.29,0,0,0,0
105300116,99001,QC04,HAA5,0.55,0.675,0.175,0,10.1,0,0.625,0,21.075
AK2110342,29351,DBP02,HAA5,0,0,0,0,3.915,0,0,0,3.71
AK2130075,99835,DIST04,HAA5,1.25,1.475,0,0,10.25,0,0,0,19.25
AK2130148,30001,DS1,HAA5,0,0,0,0,5.35,0,0,0,17.9
AK2210906,42004,SP01,HAA5,0.1745,0,0,0,3.5,0,0,0,2.825
AK2211423,5091,DS2,HAA5,0.11125,0.13425,0,0,4.925,0,0,0,5.2425
AK2211431,30001,DS1,HAA5,0.54,0.25,0.52,0.2,0.295,0,0,0,0
AK2212039,2,986,HAA5,0.14125,0.14675,0,0,5.12,0,0,0,7.7
AK2224646,1004,SPDS1DBP23,HAA5,1.225,0.7115,0.3625,0.351,3.645,0,0,0,1.73
AK2240448,30001,DS1,HAA5,1.1,0.85,0,0,12,0,1.1,0,11.5
AK2310730,45718,SPDS1DBP21,HAA5,0.666,0.687,0,0,9.27,0,0,0,12.5
AK2310900,44834,SPDS1DBP23,HAA5,0.6835,0.726,0,0,9.79,0,0,0,15.8
AK2310918,2,3015,HAA5,0.761,0.732,0,0,11.015,0,0,0,21.7
AL0000001,99200,DB201,HAA5,0,0,0,0,0.4555,0,0,0,0
AL0000017,10033,DS003,HAA5,0,0,0,0,0.339,0,0,0,0
AL0000023,1,DS01,HAA5,0.61,0,0,0,1.9,0,0,0,0
