PWSID,HAA9.Max.LAA_ppb,HAA9.Max.LAA_CAT,STG2_MCL,AdvTreat,Chloramines,Br_ppb,TOC_ppm,Impaired.Source
10106001,43.1725,0.817932477,Uncertain (No TTHM Data),TRUE,FALSE,519,1.61,FALSE
10109005,59.814,0.099703477,Uncertain (No TTHM Data),FALSE,FALSE,,,
55293201,4.8805,0.207177665,Uncertain (No TTHM Data),FALSE,FALSE,56.25,0.52,FALSE
55294214,0.65,0.002014878,Uncertain (No TTHM Data),FALSE,FALSE,10,0,FALSE
55294506,1.587,0.006002311,Uncertain (No TTHM Data),FALSE,FALSE,27.6125,0,FALSE
63500120,0.94,0.242657171,Uncertain (No TTHM Data),FALSE,FALSE,260,0,FALSE
63501100,0.755,0.006359235,Uncertain (No TTHM Data),FALSE,FALSE,88.33333333,0,FALSE
63506008,18.2515,0.396103275,Uncertain (No TTHM Data),,,80.45,0,FALSE
63506114,4.685,0.174071479,Uncertain (No TTHM Data),FALSE,FALSE,96,0.3,FALSE
83890015,42.27,0.10177712,Uncertain (No TTHM Data),FALSE,FALSE,22.75,3.625,FALSE
83890023,58.58,0.365087026,Uncertain (No TTHM Data),FALSE,FALSE,50,6.252,FALSE
84690516,19.4575,0.120059111,Uncertain (No TTHM Data),FALSE,TRUE,,,
90400089,0,0,Uncertain (No TTHM Data),FALSE,FALSE,110,0.65,FALSE
90400090,36.3975,1.583540248,Uncertain (No TTHM Data),TRUE,FALSE,274,2.625,TRUE
90400106,0,0,Uncertain (No TTHM Data),FALSE,TRUE,68.5,0,FALSE
90400109,1.125,0.006293858,Uncertain (No TTHM Data),TRUE,FALSE,132.5,0,FALSE
90400343,22.68,0.178423573,Uncertain (No TTHM Data),,,,,
90400692,0.908,0.00335245,Uncertain (No TTHM Data),FALSE,FALSE,220,0,FALSE
90400693,32.4225,0.064636244,Uncertain (No TTHM Data),,,0,1.866666667,FALSE
90407149,3.81,0.352838687,Uncertain (No TTHM Data),FALSE,FALSE,120,0,FALSE
90600158,12.41,0.340503055,Uncertain (No TTHM Data),,,231.2857143,1.07625,FALSE
90605012,1.03,0.006686568,Uncertain (No TTHM Data),FALSE,FALSE,60.75,0,FALSE
90605013,7.115,0.187376637,Uncertain (No TTHM Data),FALSE,FALSE,,,
90605153,5.095,0.389083291,Uncertain (No TTHM Data),,,100.6666667,0,FALSE
93534024,1.455,0.009553285,Uncertain (No TTHM Data),FALSE,TRUE,29.25,0,FALSE
105300116,33.2,0.041165861,Uncertain (No TTHM Data),,,,,
AK2110342,7.625,0.005515292,No Violation,FALSE,FALSE,0,0,FALSE
AK2130075,32.225,0.039828597,No Violation,FALSE,FALSE,0,0,FALSE
AK2130148,23.25,0.016281483,No Violation,FALSE,FALSE,0,4.833333333,FALSE
AK2210906,6.4995,0.00591873,No Violation,FALSE,FALSE,0,0.365714286,FALSE
AK2211423,10.413,0.009050487,No Violation,FALSE,FALSE,,,
AK2211431,1.805,0.017970221,No Violation,FALSE,FALSE,34.5,0,FALSE
AK2212039,13.108,0.011030844,No Violation,FALSE,FALSE,0,0.3225,FALSE
AK2224646,8.6395,0.033597708,No Violation,FALSE,FALSE,12.75454545,0.838181818,FALSE
AK2240448,26.55,0.044466273,No Violation,FALSE,FALSE,0,2.35,FALSE
AK2310730,23.1705,0.025573545,No Violation,FALSE,FALSE,0,2.705,FALSE
AK2310900,26.9995,0.027916581,No Violation,FALSE,FALSE,,,
AK2310918,34.208,0.033169561,No Violation,FALSE,FALSE,1.707692308,2.328461538,FALSE
AL0000001,0.4555,0.000376426,No Violation,FALSE,FALSE,0,0,FALSE
AL0000017,0.339,0.00028015,No Violation,FALSE,FALSE,,,
AL0000023,2.51,0.006080524,No Violation,FALSE,FALSE,15.7,0,FALSE
AL0000029,1.225,0.005755154,No Violation,FALSE,FALSE,22.84166667,0,FALSE
AL0000035,1.685,0.012855086,No Violation,FALSE,FALSE,27.915,0,FALSE
AL0000036,2.97,0.017489722,No Violation,FALSE,FALSE,36,0.425,FALSE
AL0000038,5.55,0.037322001,No Violation,FALSE,FALSE,21.9,1.08,FALSE
AL0000053,6.8205,0.165194691,No Violation,FALSE,FALSE,36.3,0,FALSE
AL0000085,3.515,0.02257079,No Violation,FALSE,FALSE,45.10833333,0.28,FALSE
AL0000103,25.105,0.110636487,No Violation,FALSE,FALSE,5.05,2.63,FALSE
AL0000118,0.1385,0.000114457,No Violation,FALSE,FALSE,31.6235,0,FALSE
AL0000131,2.8525,0.012136539,No Violation,FALSE,FALSE,0,2.26,FALSE
AL0000133,36.96,0.058506943,No Violation,FALSE,FALSE,0,1.03125,FALSE
AL0000154,2.62,0.009939208,No Violation,FALSE,FALSE,,,
AL0000162,1.0225,0.004132318,No Violation,FALSE,FALSE,0,0.9375,FALSE
AL0000174,38.5975,0.112212318,No Violation,FALSE,FALSE,,,
AL0000178,56.108625,0.318245767,No Violation,FALSE,FALSE,0,3.265,FALSE
AL0000180,34.76,0.304324678,No Violation,FALSE,FALSE,,,
AL0000189,2.57,0.007443944,No Violation,FALSE,FALSE,0,0,FALSE
AL0000213,36.1875,0.154658713,No Violation,FALSE,FALSE,15.6,2.7075,FALSE
AL0000234,4.26,0.013648978,No Violation,FALSE,FALSE,10.08333333,0.37,FALSE
AL0000296,1.735,0.009488074,No Violation,FALSE,FALSE,37.06060606,0,FALSE
AL0000302,1.2275,0.005928171,No Violation,FALSE,FALSE,5.668625,0.175,FALSE
AL0000314,52.7825,0.942683079,No Violation,FALSE,FALSE,19,1.6275,FALSE
AL0000321,41.6215,0.302523662,No Violation,FALSE,FALSE,14.975,2.315,FALSE
AL0000327,39.66375,0.212752256,No Violation,TRUE,FALSE,22.175,2.125,FALSE
AL0000331,16.61325,0.217862898,No Violation,FALSE,FALSE,43.15,0,FALSE
AL0000356,15.845,0.379400315,No Violation,FALSE,FALSE,451.3888889,0.129444444,FALSE
AL0000361,7.76,0.037885117,No Violation,,FALSE,429.7857143,0,FALSE
AL0000394,46.8615,0.310763844,No Violation,FALSE,FALSE,,,
AL0000397,2.25,0.010091803,No Violation,FALSE,FALSE,2,0,FALSE
AL0000402,49.8125,0.100298485,No Violation,FALSE,FALSE,,,
AL0000413,12.832,0.35233848,No Violation,TRUE,FALSE,,,
AL0000441,6.455,0.045387697,No Violation,,,50.26,0,FALSE
AL0000490,1.745,0.005152783,No Violation,FALSE,FALSE,30.825,0,FALSE
AL0000509,18.17,0.239258019,No Violation,TRUE,FALSE,0,1.3,FALSE
AL0000535,10.94975,0.022817161,No Violation,FALSE,FALSE,,,
AL0000539,24.1,0.039896011,No Violation,FALSE,FALSE,,,
AL0000547,28.535,0.269401217,No Violation,FALSE,FALSE,0,2.095,FALSE
AL0000549,33.0325,0.296183737,No Violation,FALSE,FALSE,,,
AL0000551,63.425,0.192722932,Violation,,FALSE,,,
AL0000553,1.209,0.004133367,No Violation,FALSE,FALSE,28.80714286,0,FALSE
AL0000561,0.45,0.0026864,No Violation,FALSE,FALSE,5,0,FALSE
AL0000577,24.94575,0.145106016,No Violation,TRUE,FALSE,24.875,3.1,FALSE
AL0000588,0.925,0.00204511,No Violation,FALSE,FALSE,,,
AL0000591,4.9275,0.084681233,No Violation,FALSE,FALSE,,,
AL0000607,7.915,0.109585372,No Violation,FALSE,FALSE,18.75,0,FALSE
AL0000610,52.645,0.079209094,No Violation,FALSE,FALSE,0,2.76,FALSE
AL0000624,1.07,0.005248192,No Violation,FALSE,FALSE,13.5,0,FALSE
AL0000663,1.47,0.004665847,No Violation,FALSE,FALSE,17.55,0.678,FALSE
AL0000671,4.455,0.013672889,No Violation,FALSE,FALSE,5.75,0,FALSE
AL0000681,1.25,0.010887303,No Violation,FALSE,FALSE,40.72560976,0.063414634,FALSE
AL0000728,32.83825,0.153321106,No Violation,FALSE,FALSE,12.325,2.0075,FALSE
AL0000729,43.955,0.545824447,No Violation,FALSE,FALSE,5.925,1.97125,FALSE
AL0000737,23.81733333,0.100518675,No Violation,FALSE,FALSE,,,
AL0000738,30.088,0.148693314,No Violation,FALSE,FALSE,12.25625,2.039375,FALSE
AL0000753,4.225,0.014019362,No Violation,FALSE,FALSE,23.675,0,FALSE
AL0000761,4.26,0.028795848,No Violation,FALSE,FALSE,20,0,FALSE
AL0000763,44.7025,5.047384336,No Violation,FALSE,FALSE,8.375,1.76,FALSE
AL0000783,28.98666667,0.360503368,No Violation,TRUE,FALSE,4.75,1.08375,FALSE
AL0000794,33.385,0.058901161,No Violation,FALSE,FALSE,,,
AL0000801,54.4575,0.351828471,No Violation,FALSE,FALSE,,,
AL0000804,46.965,0.69915859,No Violation,FALSE,FALSE,0,3.755,FALSE
AL0000814,26.26,0.410075145,No Violation,FALSE,FALSE,,,
AL0000816,52.935,0.181099403,Violation,,FALSE,12.7875,3.2025,FALSE
AL0000820,43.54,0.343154382,No Violation,FALSE,FALSE,20.875,1.335,FALSE
AL0000824,49.1335,0.091563436,No Violation,FALSE,FALSE,13.175,2.765,FALSE
AL0000833,50.31,0.291807188,No Violation,FALSE,FALSE,0,1.775,FALSE
AL0000870,66.04333333,0.111219547,Violation,,FALSE,0,4.115,FALSE
AL0000878,3.60675,0.016750263,No Violation,FALSE,FALSE,19.6625,0.1275,FALSE
AL0000882,36.91825,0.060570872,No Violation,FALSE,FALSE,12.33333333,1.89,FALSE
AL0000885,48.45175,0.156629427,No Violation,FALSE,FALSE,6.175,1.29,FALSE
AL0000888,59.47,0.203389451,No Violation,FALSE,FALSE,,,
AL0000899,44.14566667,0.133739891,No Violation,FALSE,FALSE,6.733333333,1.523333333,FALSE
AL0000908,16.065,1.233199163,No Violation,FALSE,FALSE,1259,0,FALSE
AL0000926,54.9715,0.115655975,No Violation,FALSE,FALSE,0,1.9925,FALSE
AL0000933,58.06,0.23205162,No Violation,FALSE,FALSE,6.55,9.265,FALSE
AL0000934,23.06,0.078175443,No Violation,TRUE,FALSE,12.125,2.0075,FALSE
AL0000936,65.56375,0.127094957,Violation,,FALSE,,,
AL0000940,3.71,0.013203396,No Violation,FALSE,FALSE,0,2.325,FALSE
AL0000943,43.29425,0.193184517,No Violation,FALSE,FALSE,11.6,3.1475,FALSE
AL0000945,41.62,0.079085412,No Violation,FALSE,FALSE,5.2,3.9825,FALSE
AL0000951,17.6325,0.253040643,No Violation,TRUE,FALSE,,,
AL0000967,28.165,0.629876338,No Violation,FALSE,FALSE,38.18857143,0.733714286,FALSE
AL0001002,51.988,0.689711386,No Violation,FALSE,FALSE,86.94375,0.42125,FALSE
AL0001005,43.08625,0.099543321,No Violation,FALSE,FALSE,5.05,3.9825,FALSE
AL0001015,42.87,0.199699673,No Violation,FALSE,FALSE,,,
AL0001021,0.8405,0.00471021,No Violation,FALSE,FALSE,17.15,0.241666667,FALSE
AL0001070,35.847875,0.389877662,No Violation,FALSE,FALSE,6.36525,2.298525,FALSE
AL0001078,5.62,0.138388033,No Violation,FALSE,FALSE,73.25,0,FALSE
AL0001084,37.865,0.297576152,No Violation,FALSE,FALSE,5.275,1.6675,FALSE
AL0001086,38.3175,0.160236004,No Violation,FALSE,FALSE,,,
AL0001088,52.185,0.187648188,No Violation,,,,,
AL0001092,11.17625,0.195081169,No Violation,TRUE,FALSE,33.475,2.4275,FALSE
AL0001100,2.055,0.005057276,No Violation,FALSE,FALSE,0,0,FALSE
AL0001106,10.3,1.185384828,No Violation,FALSE,FALSE,20.18888889,0,FALSE
AL0001120,4.0855,0.020122683,No Violation,FALSE,FALSE,34.3,0,FALSE
AL0001124,4.142,0.017187015,No Violation,FALSE,FALSE,29.15,0.289166667,FALSE
AL0001137,3.58,0.016559137,No Violation,FALSE,FALSE,25.69166667,0.749166667,FALSE
AL0001142,38.15925,0.515971517,No Violation,,,15.55,2.47,FALSE
AL0001145,29.395,0.333557804,No Violation,FALSE,FALSE,,,
AL0001148,31.94525,0.580992937,No Violation,FALSE,FALSE,23.925,0.39,FALSE
AL0001150,10.17,0.034698905,No Violation,FALSE,FALSE,5.125,0,FALSE
AL0001151,5.37,0.017894943,No Violation,FALSE,FALSE,0,0.137777778,FALSE
AL0001157,38.6975,0.365756392,No Violation,FALSE,FALSE,,,
AL0001163,34.2525,0.152705449,No Violation,FALSE,FALSE,,,
AL0001203,30.53666667,0.08746167,No Violation,FALSE,FALSE,,,
AL0001204,32.95,0.204184763,No Violation,FALSE,FALSE,,,
AL0001222,0.572,0.004455476,No Violation,FALSE,FALSE,567.95,0.423333333,FALSE
AL0001258,48.8975,0.060127303,No Violation,FALSE,FALSE,0,2.276666667,FALSE
AL0001260,34.0175,0.064202373,No Violation,FALSE,FALSE,0,1.1775,FALSE
AL0001265,32.7055,0.081423123,No Violation,FALSE,FALSE,6.625,2.81,FALSE
AL0001288,39.2125,0.097980823,No Violation,FALSE,FALSE,,,
AL0001293,38.725,0.187370577,No Violation,FALSE,TRUE,,,
AL0001307,60.535,0.215421539,No Violation,FALSE,FALSE,0,3.755,FALSE
AL0001313,49.37875,0.195622276,No Violation,FALSE,FALSE,0,2.4425,FALSE
AL0001336,33.21333333,0.049769408,No Violation,,,0,2.1925,FALSE
AL0001411,34.265,0.061920423,No Violation,,,,,
AL0001422,37.64666667,0.832591589,No Violation,FALSE,FALSE,6.333333333,1.065555556,FALSE
AL0001432,37.28875,0.173161012,No Violation,FALSE,FALSE,,,
AL0001489,1.74,0.00812591,No Violation,FALSE,FALSE,22.14285714,0,FALSE
AL0001507,12.579,0.690699734,Violation,,FALSE,352.2125,0.205,FALSE
AL0001512,0.68,0.000561954,No Violation,FALSE,FALSE,88.33333333,0,FALSE
AL0001516,3.345,0.008041402,No Violation,FALSE,FALSE,0,0,FALSE
AL0001540,65.92,0.177015062,No Violation,FALSE,FALSE,,,
AL0001671,54.5435,0.331668598,No Violation,TRUE,FALSE,28.2,3.3275,FALSE
AL0001716,46.675,0.190312757,No Violation,FALSE,FALSE,,,
AL0001783,5.3105,0.027487823,No Violation,FALSE,FALSE,0,0.73,FALSE
AL0001786,43.56825,0.319084669,No Violation,FALSE,FALSE,,,
AL0001796,88.48,0.54695013,Violation,,FALSE,17.25,2.25,FALSE
AR0000002,0.27,0.000223129,No Violation,FALSE,FALSE,38.5,0,FALSE
AR0000004,2.977,0.16162769,No Violation,FALSE,FALSE,69.6,0,FALSE
AR0000025,51.48075,0.428223532,No Violation,FALSE,FALSE,0,2.67,FALSE
AR0000039,46.7995,0.256536027,No Violation,FALSE,FALSE,,,
AR0000041,42.213,0.68163602,No Violation,FALSE,FALSE,,,
AR0000044,51.447,0.244119272,No Violation,FALSE,FALSE,,,
AR0000055,45.04575,0.368378667,No Violation,FALSE,FALSE,,,
AR0000056,37.5795,0.747872617,No Violation,,,34.1,1.77,FALSE
AR0000062,35.1405,0.117295245,No Violation,FALSE,TRUE,,,
AR0000085,42.429,0.114946128,No Violation,,,5.3,3.3175,FALSE
AR0000090,3.375,0.217557888,No Violation,FALSE,FALSE,366.6666667,0,FALSE
AR0000101,44.64375,0.304192061,No Violation,FALSE,FALSE,0,2.2,FALSE
AR0000104,32.5885,0.099459893,No Violation,FALSE,FALSE,0,1.7125,FALSE
AR0000109,22.121,0.136435405,Violation,,,67.5,10.8,FALSE
AR0000119,35.626,0.201488441,No Violation,,,0,3.1625,FALSE
AR0000124,2.657,0.026994354,No Violation,FALSE,FALSE,109.25,0,FALSE
AR0000142,32.01533333,0.176685877,No Violation,FALSE,FALSE,,,
AR0000152,6.1695,0.011801571,No Violation,FALSE,FALSE,0,0,FALSE
AR0000156,3.3465,0.010350038,No Violation,,,0,0,FALSE
AR0000184,5.337,0.167994585,No Violation,FALSE,FALSE,29.35,0,FALSE
AR0000185,35.70675,0.299198678,No Violation,FALSE,FALSE,,,
AR0000189,40.48275,0.842429166,No Violation,FALSE,FALSE,5.3,3.52,FALSE
AR0000195,29.59925,0.127143195,No Violation,FALSE,FALSE,,,
AR0000208,41.5155,0.136049601,No Violation,FALSE,FALSE,0,2.071666667,FALSE
AR0000209,42.416,2.010172128,Violation,,,0,2.77625,FALSE
AR0000217,42.675,0.078967814,No Violation,FALSE,FALSE,,,
AR0000222,6.6495,0.029161101,No Violation,FALSE,FALSE,10.4,0,FALSE
AR0000230,64.74475,1.22081984,Violation,,FALSE,48.8,4.66,FALSE
AR0000237,34.512,0.067068775,No Violation,,,0,3.1075,FALSE
