PWSID,STG2_MCL,Adv.Treat,Chloramines,Bromide_ppb,TOC_ppm,Impaired.Source
10106001,Uncertain (No TTHM Data),TRUE,FALSE,519,1.61,FALSE
10109005,Uncertain (No TTHM Data),FALSE,FALSE,,,
55293201,Uncertain (No TTHM Data),FALSE,FALSE,56.25,0.52,FALSE
55294214,Uncertain (No TTHM Data),FALSE,FALSE,10,0,FALSE
55294506,Uncertain (No TTHM Data),FALSE,FALSE,27.6125,0,FALSE
63500120,Uncertain (No TTHM Data),FALSE,FALSE,260,0,FALSE
63501100,Uncertain (No TTHM Data),FALSE,FALSE,88.33333333,0,FALSE
63506008,Uncertain (No TTHM Data),,,80.45,0,FALSE
63506114,Uncertain (No TTHM Data),FALSE,FALSE,96,0.3,FALSE
83890015,Uncertain (No TTHM Data),FALSE,FALSE,22.75,3.625,FALSE
83890023,Uncertain (No TTHM Data),FALSE,FALSE,50,6.252,FALSE
84690516,Uncertain (No TTHM Data),FALSE,TRUE,,,
90400089,Uncertain (No TTHM Data),FALSE,FALSE,110,0.65,FALSE
90400090,Uncertain (No TTHM Data),TRUE,FALSE,274,2.625,TRUE
90400106,Uncertain (No TTHM Data),FALSE,TRUE,68.5,0,FALSE
90400109,Uncertain (No TTHM Data),TRUE,FALSE,132.5,0,FALSE
90400343,Uncertain (No TTHM Data),,,,,
90400692,Uncertain (No TTHM Data),FALSE,FALSE,220,0,FALSE
90400693,Uncertain (No TTHM Data),,,0,1.866666667,FALSE
90407149,Uncertain (No TTHM Data),FALSE,FALSE,120,0,FALSE
90600158,Uncertain (No TTHM Data),,,231.2857143,1.07625,FALSE
90605012,Uncertain (No TTHM Data),FALSE,FALSE,60.75,0,FALSE
90605013,Uncertain (No TTHM Data),FALSE,FALSE,,,
90605153,Uncertain (No TTHM Data),,,100.6666667,0,FALSE
93534024,Uncertain (No TTHM Data),FALSE,TRUE,29.25,0,FALSE
105300116,Uncertain (No TTHM Data),,,,,
AK2110342,No Violation,FALSE,FALSE,0,0,FALSE
AK2130075,No Violation,FALSE,FALSE,0,0,FALSE
AK2130148,No Violation,FALSE,FALSE,0,4.833333333,FALSE
AK2210906,No Violation,FALSE,FALSE,0,0.365714286,FALSE
AK2211423,No Violation,FALSE,FALSE,,,
AK2211431,No Violation,FALSE,FALSE,34.5,0,FALSE
AK2212039,No Violation,FALSE,FALSE,0,0.3225,FALSE
AK2224646,No Violation,FALSE,FALSE,12.75454545,0.838181818,FALSE
AK2240448,No Violation,FALSE,FALSE,0,2.35,FALSE
AK2310730,No Violation,FALSE,FALSE,0,2.705,FALSE
AK2310900,No Violation,FALSE,FALSE,,,
AK2310918,No Violation,FALSE,FALSE,1.707692308,2.328461538,FALSE
AL0000001,No Violation,FALSE,FALSE,0,0,FALSE
AL0000017,No Violation,FALSE,FALSE,,,
AL0000023,No Violation,FALSE,FALSE,15.7,0,FALSE
AL0000029,No Violation,FALSE,FALSE,22.84166667,0,FALSE
AL0000035,No Violation,FALSE,FALSE,27.915,0,FALSE
AL0000036,No Violation,FALSE,FALSE,36,0.425,FALSE
AL0000038,No Violation,FALSE,FALSE,21.9,1.08,FALSE
AL0000053,No Violation,FALSE,FALSE,36.3,0,FALSE
AL0000085,No Violation,FALSE,FALSE,45.10833333,0.28,FALSE
AL0000103,No Violation,FALSE,FALSE,5.05,2.63,FALSE
AL0000118,No Violation,FALSE,FALSE,31.6235,0,FALSE
AL0000131,No Violation,FALSE,FALSE,0,2.26,FALSE
AL0000133,No Violation,FALSE,FALSE,0,1.03125,FALSE
AL0000154,No Violation,FALSE,FALSE,,,
AL0000162,No Violation,FALSE,FALSE,0,0.9375,FALSE
AL0000174,No Violation,FALSE,FALSE,,,
AL0000178,No Violation,FALSE,FALSE,0,3.265,FALSE
AL0000180,No Violation,FALSE,FALSE,,,
AL0000189,No Violation,FALSE,FALSE,0,0,FALSE
AL0000213,No Violation,FALSE,FALSE,15.6,2.7075,FALSE
AL0000234,No Violation,FALSE,FALSE,10.08333333,0.37,FALSE
AL0000296,No Violation,FALSE,FALSE,37.06060606,0,FALSE
AL0000302,No Violation,FALSE,FALSE,5.668625,0.175,FALSE
AL0000314,No Violation,FALSE,FALSE,19,1.6275,FALSE
AL0000321,No Violation,FALSE,FALSE,14.975,2.315,FALSE
AL0000327,No Violation,TRUE,FALSE,22.175,2.125,FALSE
AL0000331,No Violation,FALSE,FALSE,43.15,0,FALSE
AL0000356,No Violation,FALSE,FALSE,451.3888889,0.129444444,FALSE
AL0000361,No Violation,,FALSE,429.7857143,0,FALSE
AL0000394,No Violation,FALSE,FALSE,,,
AL0000397,No Violation,FALSE,FALSE,2,0,FALSE
AL0000402,No Violation,FALSE,FALSE,,,
AL0000413,No Violation,TRUE,FALSE,,,
AL0000441,No Violation,,,50.26,0,FALSE
AL0000490,No Violation,FALSE,FALSE,30.825,0,FALSE
AL0000509,No Violation,TRUE,FALSE,0,1.3,FALSE
AL0000535,No Violation,FALSE,FALSE,,,
AL0000539,No Violation,FALSE,FALSE,,,
AL0000547,No Violation,FALSE,FALSE,0,2.095,FALSE
AL0000549,No Violation,FALSE,FALSE,,,
AL0000551,Violation,,FALSE,,,
AL0000553,No Violation,FALSE,FALSE,28.80714286,0,FALSE
AL0000561,No Violation,FALSE,FALSE,5,0,FALSE
AL0000577,No Violation,TRUE,FALSE,24.875,3.1,FALSE
AL0000588,No Violation,FALSE,FALSE,,,
AL0000591,No Violation,FALSE,FALSE,,,
AL0000607,No Violation,FALSE,FALSE,18.75,0,FALSE
AL0000610,No Violation,FALSE,FALSE,0,2.76,FALSE
