Group,Color.Group,Symbol,LC50_M,CTI,TDNA50_M,GTI
HAA,HAA5,DBAA,5.90E-04,1.69,1.76E-03,0.57
HAA,HAA5,DCAA,7.30E-03,0.14,NT,
HAA,HAA5,MBAA,9.60E-06,104.17,1.70E-05,58.82
HAA,HAA5,MCAA,8.10E-04,1.23,4.11E-04,2.43
HAA,HAA5,TCAA,2.40E-03,0.42,NT,
HAA,HAA9,BCAA,7.80E-04,1.28,3.00E-03,0.33
HAA,HAA9,BDCAA,6.90E-04,1.45,NT,
HAA,HAA9,DBCAA,2.00E-04,5,1.40E-02,0.07
HAA,HAA9,TBAA,8.50E-05,11.76,2.46E-03,0.41
HAL,Other,BAL,1.73E-05,57.8,NA,
HAL,Other,BAL,,,3.81E-04,2.62
HAL,Other,BCAL,5.34E-06,187.27,6.21E-04,1.61
HAL,Other,BDCAL,2.04E-05,49.02,4.70E-04,2.13
HAL,Other,CAL,3.51E-06,284.9,1.43E-04,7
HAL,Other,DBAL,4.70E-06,212.77,1.11E-04,8.98
HAL,Other,DBCAL,5.15E-06,194.17,1.44E-04,6.96
HAL,Other,DCAL,2.93E-05,34.13,7.95E-04,1.26
HAL,Other,IAL,6.00E-06,166.67,1.01E-03,0.99
HAL,Other,TBAL,3.58E-06,279.33,3.40E-04,2.94
HAL,Other,TCAL,1.16E-03,0.86,NT,
HAM,Other,BAM,1.89E-06,529.1,3.68E-05,27.17
HAM,Other,BCAM,1.71E-05,58.48,5.83E-04,1.72
HAM,Other,BDCAM,8.68E-06,115.21,1.46E-04,6.85
HAM,Other,BIAM,3.81E-06,262.47,7.21E-05,13.87
HAM,Other,CIAM,5.97E-06,167.5,3.02E-04,3.31
HAM,Other,CAM,1.48E-04,6.76,1.38E-03,0.72
HAM,Other,DBAM,1.22E-05,81.97,7.44E-04,1.34
HAM,Other,DBCAM,4.75E-06,210.53,6.94E-05,14.41
HAM,Other,DCAM,1.92E-03,0.52,NA,
HAM,Other,DIAM,6.78E-07,1474.93,3.39E-05,29.5
HAM,Other,IAM,1.42E-06,704.23,3.41E-05,29.33
HAM,Other,TBAM,3.14E-06,318.47,3.25E-05,30.77
HAM,Other,TCAM,2.05E-03,0.49,6.54E-03,0.15
HAN,Other,BAN,3.21E-06,311.53,3.85E-05,25.97
HAN,Other,BCAN,8.46E-06,118.2,3.24E-04,3.09
HAN,Other,CAN,6.83E-05,14.64,6.01E-04,1.66
HAN,Other,DBAN,2.85E-06,350.88,4.71E-05,21.23
HAN,Other,DCAN,5.73E-05,17.45,2.75E-03,0.36
HAN,Other,IAN,3.30E-06,303.03,3.71E-05,26.95
HAN,Other,TCAN,1.60E-04,6.25,1.01E-03,0.99
HC,Other,CB,2.09E-05,47.85,5.00E-04,2
HC,Other,CC,3.25E-03,0.31,NA,
HC,Other,CI,9.01E-05,11.1,2.14E-04,4.67
HNM,Other,BCNM,4.05E-05,24.69,1.65E-04,6.06
HNM,Other,BDCNM,1.32E-05,75.76,6.32E-05,15.82
HNM,Other,BNM,7.06E-06,141.64,1.36E-04,7.35
HNM,Other,CNM,5.29E-04,1.89,2.15E-03,0.47
HNM,Other,DBCNM,6.88E-06,145.35,1.43E-04,6.99
HNM,Other,DBNM,6.09E-06,164.2,2.62E-05,38.17
HNM,Other,DCNM,3.73E-04,2.68,4.21E-04,2.38
HNM,Other,TBNM,8.57E-06,116.69,6.99E-05,14.31
HNM,Other,TCNM,5.36E-04,1.87,9.34E-05,10.71
HAA,Other,BIAA,8.97E-04,1.11,3.16E-03,0.32
HAA,Other,DIAA,3.32E-04,3.01,1.98E-03,0.51
HAA,Other,IAA,2.95E-06,338.98,8.70E-06,114.94
THM,Other,BCIM,2.40E-03,0.42,NT,
THM,Other,BDIM,1.40E-03,0.71,,
THM,Other,CDIM,2.41E-03,0.41,2.95E-03,0.34
THM,Other,DBIM,1.90E-03,0.53,NT,
THM,Other,DCIM,4.13E-03,0.24,NT,
THM,Other,TIM,6.60E-05,15.15,NT,
THM,TTHM,TBM,3.96E-03,0.25,,
THM,TTHM,BDCM,1.15E-02,0.09,NT,
THM,TTHM,DBCM,5.36E-03,0.19,,
THM,TTHM,TCM,9.62E-03,0.1,,
